NAMA KABUPATEN;NAMA KECAMATAN;NAMA KECAMATAN;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;;;;
JEMBER;SUMBERBARU;SUMBERBARU;0.6743;0.5833;0.8667;0.7081;MAJU;MANDIRI;;;;
JEMBER;TEMPUREJO;TEMPUREJO;0.7943;0.55;0.8;0.7148;MAJU;MANDIRI;;;;
JEMBER;TEMPUREJO;TEMPUREJO;0.8;0.55;0.8;0.7167;MAJU;MANDIRI;;;;
JEMBER;SUKOWONO;SUKOWONO;0.6686;0.4833;1.0;0.7173;MAJU;MANDIRI;;;;
JEMBER;SUKOWONO;SUKOWONO;0.8229;0.6667;0.6667;0.7187;MAJU;MANDIRI;;;;
;;;;;;;;;;;;
DAERAH SD SASARAN;;;;;;;;;;;;
9;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 01;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 02;SD;Negeri;05/11/2023 08:18;156;6;7;1;6;0;0
10;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 02;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 03;SD;Negeri;25/10/2023 18:09;129;6;6;1;4;0;1
11;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 03;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN JAMBESARI 04;SD;Negeri;15/11/2023 15:19;84;6;5;1;6;0;0
12;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 01;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 02;SD;Negeri;26/10/2023 10:16;75;6;6;3;6;0;1
13;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 02;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 03;SD;Negeri;28/10/2023 07:30;143;6;7;1;6;1;1
14;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 03;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 04;SD;Negeri;30/10/2023 08:59;67;6;5;2;6;0;0
15;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 04;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 05;SD;Negeri;04/11/2023 11:40;338;12;10;1;11;0;1
16;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 06;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 07;SD;Negeri;27/11/2023 21:08;167;6;5;3;6;0;1
17;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 07;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN CURAHTAKIR 08;SD;Negeri;25/11/2023 08:43;125;6;6;2;5;0;0
18;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 01;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 02;SD;Negeri;27/10/2023 19:34;144;6;6;2;6;0;0
19;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 02;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 03;SD;Negeri;27/11/2023 13:50;182;6;7;3;7;0;1
20;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 03;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 04;SD;Negeri;08/11/2023 07:23;143;6;8;2;8;0;1
21;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 04;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 05;SD;Negeri;12/10/2023 14:37;99;6;8;2;6;0;0
22;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 05;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN PONDOKREJO 06;SD;Negeri;14/09/2023 09:34;149;6;5;1;6;0;0
9;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN POCANGAN 01;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN POCANGAN 02;SD;Negeri;24/10/2023 10:25;95;6;7;1;7;0;1
13;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN SUKOREJO 02;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN SUKOREJO 03;SD;Negeri;23/11/2023 11:04;159;6;4;2;6;0;1
12;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN SUKOREJO 01;UNIT PELAKSANA TEKNIS DAERAH (UPTD) SATUAN PENDIDIKAN SDN SUKOREJO 02;SD;Negeri;16/11/2023 05:15;326;13;16;2;13;0;1
