NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;;;;
JOMBANG;SUMOBITO;BRUDU;0.72;0.55;0.8;0.69;BERKEMBANG;MAJU;;;;
JOMBANG;PERAK;SEMBUNG;0.7886;0.6667;0.6667;0.7073;MAJU;MANDIRI;;;;
JOMBANG;NGORO;BANYUARANG;0.6914;0.7;0.7333;0.7083;MAJU;MANDIRI;;;;
JOMBANG;MOJOWARNO;REJOSLAMET;0.7086;0.6167;0.8;0.7084;MAJU;MANDIRI;;;;
JOMBANG;JOGOROTO;ALANG-ALANG CARUBAN;0.9086;0.6167;0.6;0.7084;MAJU;MANDIRI;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3;SD NEGERI BRUDU;20503972;SD;Negeri;30 Oct 2023 14:35:22;148;6;8;2;7;0;1
15;SD NEGERI SEMBUNG;20503572;SD;Negeri;10 Oct 2023 11:03:27;110;6;7;2;6;0;1
4;SD NEGERI BANYUARANG;20504037;SD;Negeri;30 Oct 2023 21:14:16;164;6;6;2;6;0;1
24;SD NEGERI REJOSLAMET 1;20503161;SD;Negeri;21 Nov 2023 12:50:21;69;6;6;1;6;0;1
25;SD NEGERI REJOSLAMET 2;20503160;SD;Negeri;02 Nov 2023 09:46:29;145;6;8;2;6;0;1
1;SD NEGERI ALANG-ALANG CARUBAN 1;20504216;SD;Negeri;31 Oct 2023 09:59:22;124;6;8;3;6;0;1
2;SD NEGERI ALANG-ALANG CARUBAN 2;20504215;SD;Negeri;23 Nov 2023 22:20:14;160;6;7;1;6;0;1
