NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;;;;
MALANG;SUMBERMANJING WETAN;RINGINKEMBAR;0.7886;0.6667;0.6667;0.7073;MAJU;MANDIRI;;;;
MALANG;TUMPANG;NGINGIT;0.84;0.6167;0.6667;0.7078;MAJU;MANDIRI;;;;
MALANG;DONOMULYO;BANJAREJO;0.7429;0.7167;0.6667;0.7087;MAJU;MANDIRI;;;;
MALANG;KALIPARE;SUMBERPETUNG;0.7943;0.6667;0.6667;0.7092;MAJU;MANDIRI;;;;
MALANG;DAMPIT;SRIMULYO;0.8114;0.5167;0.8;0.7094;MAJU;MANDIRI;;;;
MALANG;PAGAK;SUMBERKERTO;0.7714;0.5;0.8667;0.7127;MAJU;MANDIRI;;;;
MALANG;SUMBERMANJING WETAN;TEGALREJO;0.8571;0.6833;0.6;0.7135;MAJU;MANDIRI;;;;
MALANG;TIRTOYUDO;KEPATIHAN;0.8286;0.45;0.8667;0.7151;MAJU;MANDIRI;;;;
MALANG;TIRTOYUDO;AMPELGADING;0.7886;0.7;0.6667;0.7184;MAJU;MANDIRI;;;;
MALANG;DONOMULYO;MENTARAMAN;0.7943;0.7;0.6667;0.7203;MAJU;MANDIRI;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
6;SD NEGERI 1 RINGINKEMBAR;20517259;SD;Negeri;14 Nov 2023 11:24:06;91;6;8;1;6;0;0
20;SD NEGERI 2 RINGINKEMBAR;20517260;SD;Negeri;20 Nov 2023 10:52:19;82;6;7;2;6;0;0
31;SD NEGERI 3 RINGINKEMBAR;20517258;SD;Negeri;24 Oct 2023 09:14:55;62;6;7;1;6;0;0
5;SD NEGERI 1 NGINGIT;20517101;SD;Negeri;02 Nov 2023 00:26:30;95;6;7;1;11;1;1
1;SD NEGERI 1 BANJAREJO;20518822;SD;Negeri;20 Sep 2023 08:27:18;96;6;8;1;6;1;0
10;SD NEGERI 2 BANJAREJO;20518824;SD;Negeri;04 Oct 2023 20:21:36;68;5;5;1;6;0;1
20;SD NEGERI 3 BANJAREJO;20518825;SD;Negeri;10 Oct 2023 09:36:35;130;6;8;0;6;0;1
6;SD NEGERI 1 SUMBERPETUNG;20554952;SD;Negeri;14 Nov 2023 09:29:27;39;6;6;1;6;0;1
15;SD NEGERI 2 SUMBERPETUNG;20517020;SD;Negeri;05 Oct 2023 09:45:44;186;6;6;2;6;0;0
22;SD NEGERI 3 SUMBERPETUNG;20554953;SD;Negeri;07 Nov 2023 07:58:27;77;6;6;0;6;0;1
28;SD NEGERI 4 SUMBERPETUNG;20517036;SD;Negeri;25 Nov 2023 18:39:01;83;6;5;0;6;0;0
36;SD NEGERI 6 SUMBERPETUNG;20517037;SD;Negeri;29 Oct 2023 21:47:41;31;6;4;0;4;0;0
10;SD NEGERI 1 SRIMULYO;20516832;SD;Negeri;09 Oct 2023 17:48:13;222;9;9;1;7;0;1
21;SD NEGERI 2 SRIMULYO;20516831;SD;Negeri;06 Nov 2023 21:37:50;200;6;7;1;7;1;1
31;SD NEGERI 3 SRIMULYO;20516830;SD;Negeri;07 Nov 2023 09:11:09;157;6;8;2;6;2;0
39;SD NEGERI 4 SRIMULYO;50516829;SD;Negeri;31 Aug 2023 19:21:39;169;6;8;1;6;2;1
44;SD NEGERI 5 SRIMULYO;20516835;SD;Negeri;13 Oct 2023 09:46:56;214;9;11;2;7;1;1
6;SD NEGERI 1 SUMBERKERTO;20517033;SD;Negeri;25 Oct 2023 09:48:18;47;6;6;0;6;0;1
12;SD NEGERI 2 SUMBERKERTO;20517049;SD;Negeri;27 Oct 2023 09:00:09;114;6;6;1;6;0;0
18;SD NEGERI 3 SUMBERKERTO;20517050;SD;Negeri;09 Oct 2023 09:42:07;98;6;6;2;6;0;0
14;SD NEGERI 1 TEGALREJO;20554993;SD;Negeri;07 Sep 2023 13:03:42;124;6;8;2;7;0;0
25;SD NEGERI 2 TEGALREJO;20517001;SD;Negeri;27 Sep 2023 09:24:01;67;6;8;1;6;0;1
4;SD NEGERI 1 KEPATIHAN;20518547;SD;Negeri;29 Sep 2023 09:16:06;123;6;8;1;6;0;0
14;SD NEGERI 2 KEPATIHAN;20518486;SD;Negeri;05 Oct 2023 10:19:36;95;6;8;2;6;0;0
22;SD NEGERI 3 KEPATIHAN;20518502;SD;Negeri;04 Oct 2023 09:25:09;36;6;5;2;3;0;0
4;SD NEGERI 1 MENTARAMAN;20517172;SD;Negeri;09 Oct 2023 20:07:43;137;6;7;1;6;0;1
13;SD NEGERI 2 MENTARAMAN;20517173;SD;Negeri;28 Oct 2023 11:22:49;104;6;7;0;7;0;0
23;SD NEGERI 3 MENTARAMAN;20517160;SD;Negeri;20 Sep 2023 08:00:35;97;6;8;1;6;0;1
30;SD NEGERI 4 MENTARAMAN;20517159;SD;Negeri;22 Sep 2023 10:11:02;55;6;6;1;6;0;0
