NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;;;;
SIDOARJO;TARIK;GAMPINGROWO;0.7829;0.4333;0.6;0.6054;BERKEMBANG;MAJU;;;;
SIDOARJO;JABON;BALONGTANI;0.8171;0.5333;0.4667;0.6057;BERKEMBANG;MAJU;;;;
SIDOARJO;JABON;SEMAMBUNG;0.7029;0.5833;0.6;0.6287;BERKEMBANG;MAJU;;;;
SIDOARJO;TARIK;MERGOBENER;0.7371;0.6667;0.5333;0.6457;BERKEMBANG;MAJU;;;;
SIDOARJO;TARIK;GEMPOLKLUTUK;0.7943;0.55;0.6;0.6481;BERKEMBANG;MAJU;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
4;SD NEGERI GAMPINGROWO 02;20539896;SD;Negeri;28 Oct 2023 11:03:43;78;6;9;3;6;0;0
5;SD NEGERI GAMPINGROWO I;20502189;SD;Negeri;19 Nov 2023 20:36:03;136;6;8;3;7;0;0
1;SD NEGERI BALONGTANI;20539886;SD;Negeri;30 Oct 2023 10:31:35;184;8;10;2;12;1;1
17;SD NEGERI SEMAMBUNG;20501520;SD;Negeri;27 Oct 2023 05:35:15;133;6;8;2;8;0;1
19;SD NEGERI MERGOBENER;20501648;SD;Negeri;26 Oct 2023 10:06:40;100;6;9;2;6;0;1
6;SD NEGERI GEMPOL KLUTUK;20502203;SD;Negeri;14 Nov 2023 11:26:12;75;6;8;2;5;0;1
