NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;;;;
TULUNGAGUNG;PAGERWOJO;SIDOMULYO;0.7886;0.55;0.5333;0.624;BERKEMBANG;MAJU;;;;
TULUNGAGUNG;PAGERWOJO;GONDANGGUNUNG;0.7429;0.6167;0.5333;0.631;BERKEMBANG;MAJU;;;;
TULUNGAGUNG;PAGERWOJO;GAMBIRAN;0.7486;0.5667;0.6;0.6384;BERKEMBANG;MAJU;;;;
TULUNGAGUNG;PAGERWOJO;SEGAWE;0.7829;0.6167;0.5333;0.6443;BERKEMBANG;MAJU;;;;
TULUNGAGUNG;BANDUNG;SINGGIT;0.7257;0.5667;0.6667;0.653;BERKEMBANG;MAJU;;;;
;;;;;;;;;;;;
SD SASARAN ;;;;;;;;;;;;
22;SD NEGERI SIDOMULYO;20515264;SD;Negeri;15 Nov 2023 11:45:18;123;6;8;3;6;0;1
20;SD NEGERI GONDANGGUNUNG;20516079;SD;Negeri;20 Oct 2023 09:08:50;58;6;8;2;6;0;1
19;SD NEGERI GAMBIRAN;20516100;SD;Negeri;05 Oct 2023 09:35:12;102;6;10;1;6;0;1
6;SD NEGERI 1 SEGAWE;20515294;SD;Negeri;10 Oct 2023 22:57:57;128;6;9;4;6;0;1
29;SD NEGERI SINGGIT;20515260;SD;Negeri;08 Nov 2023 11:12:05;50;6;8;1;6;0;1
